DEBUG: x=0.210830, struve=0.043915
DEBUG: x=0.211285, struve=0.044104
DEBUG: x=0.211739, struve=0.044293
DEBUG: x=0.212194, struve=0.044483
DEBUG: x=0.212648, struve=0.044673
DEBUG: x=0.213102, struve=0.044864
DEBUG: x=0.213557, struve=0.045055
DEBUG: x=0.214011, struve=0.045246
DEBUG: x=0.214465, struve=0.045438
DEBUG: x=0.214920, struve=0.045630
DEBUG: x=0.215374, struve=0.045822
DEBUG: x=0.215829, struve=0.046015
DEBUG: x=0.216283, struve=0.046209
DEBUG: x=0.216737, struve=0.046402
DEBUG: x=0.217192, struve=0.046597
DEBUG: x=0.217646, struve=0.046791
DEBUG: x=0.218100, struve=0.046986
DEBUG: x=0.218555, struve=0.047181
DEBUG: x=0.219009, struve=0.047377
DEBUG: x=0.219464, struve=0.047573
DEBUG: x=0.219918, struve=0.047770
DEBUG: x=0.220372, struve=0.047967
DEBUG: x=0.220827, struve=0.048164
DEBUG: x=0.221281, struve=0.048362
DEBUG: x=0.221735, struve=0.048560
DEBUG: x=0.222190, struve=0.048759
DEBUG: x=0.222644, struve=0.048958
DEBUG: x=0.223099, struve=0.049157
DEBUG: x=0.223553, struve=0.049357
DEBUG: x=0.224007, struve=0.049557
DEBUG: x=0.224462, struve=0.049758
DEBUG: x=0.224916, struve=0.049959
DEBUG: x=0.225370, struve=0.050160
DEBUG: x=0.225825, struve=0.050362
DEBUG: x=0.226279, struve=0.050564
DEBUG: x=0.226734, struve=0.050766
DEBUG: x=0.227188, struve=0.050969
DEBUG: x=0.227642, struve=0.051173
DEBUG: x=0.228097, struve=0.051377
DEBUG: x=0.228551, struve=0.051581
DEBUG: x=0.229005, struve=0.051785
DEBUG: x=0.229460, struve=0.051990
DEBUG: x=0.229914, struve=0.052196
DEBUG: x=0.230369, struve=0.052401
DEBUG: x=0.230823, struve=0.052608
DEBUG: x=0.231277, struve=0.052814
DEBUG: x=0.231732, struve=0.053021
DEBUG: x=0.232186, struve=0.053229
DEBUG: x=0.232640, struve=0.053436
DEBUG: x=0.233095, struve=0.053645
